Table 1 from "Electron Radiative Transitions in a Coulomb Field", W.J.Karzas & R.Latter, Astrophysical Journal Supplement, vol. 6, p.167, May 1961
doi:10.1086/190063
© AAS. Reproduced with permission

E	hν	n=1	hν	n=2	hν	n=3	hν	n=4	hν	n=5		n=6		n=7		n=8		n=10
.1000D13	.1000D13	.6928D-5	.1000D13	.6128D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6928D-5	.1000D13	.6728D-5
.1111D12	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4	.1111D12	.2078D-4
.1000D11	.1000D11	.6982D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4	.1000D11	.6928D-4
.1111D10	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3	.1111D10	.2078D-3
.1000D9	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3	.1000D9	.6926D-3
.1111D8	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2	.1111D8	.2076D-2
.1000D7	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2	.1000D7	.6906D-2
.1111D6	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1	.1111D6	.2059D-1
.4000D5	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1	.4000D5	.3410D-1
.2041D5	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1	.2041D5	.4745D-1
.1000D5	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.1000D5	.6715D-1	.4000D5	.6715D-1
.4444D4	.4445D4	.9917D-1	.4445D4	.9918D-1	.4445D4	.9918D-1	.4444D4	.9918D-1	.4444D4	.9918D-1	.4444D4	.9918D-1	.4444D4	.9918D-1	.4444D4	.9918D-1	.4444D4	.9918D-1
